event,division,rank,name,nation,total_time,result_id,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Running Total,Workouts Total,Roxzone Total,Total Time
s8-2025-london,hyrox-men,1,Alexis Bernier,FR,55:21,LR3MS4JI42E847,138,243,163,132,166,189,167,168,172,250,170,81,176,176,240,230,1389,1469,463,3321
s8-2025-london,hyrox-men,2,Callum Overton,GB,55:50,LR3MS4JI42E1D2,135,243,162,128,166,208,162,185,165,266,161,111,163,178,227,249,1339,1568,443,3350
s8-2025-london,hyrox-men,3,Joe Vatcher,IE,56:14,LR3MS4JI430830,142,249,169,138,175,162,179,197,178,247,178,89,179,160,253,216,1450,1458,466,3374
s8-2025-london,hyrox-men,4,Aaron Woodman,GB,56:25,LR3MS4JI42C26E,149,259,172,126,175,189,182,165,182,256,180,76,178,165,257,200,1471,1436,478,3385
s8-2025-london,hyrox-men,5,Rayane Kara,FR,56:29,LR3MS4JI431B12,157,260,179,128,185,179,184,127,185,257,183,93,185,149,259,202,1512,1395,482,3389
s8-2025-london,hyrox-men,6,Reece Mc Ginley,IE,56:32,LR3MS4JI4326D9,149,273,174,134,176,182,176,155,181,258,178,82,182,158,248,214,1460,1456,476,3392
s8-2025-london,hyrox-men,7,David Parkin,GB,56:52,LR3MS4JI42CEFD,143,250,168,118,174,199,174,147,176,249,172,84,177,148,250,322,1431,1517,464,3412
s8-2025-london,hyrox-men,8,Marc Bloomfield,GB,56:55,LR3MS4JI430E83,141,257,167,120,176,209,178,162,180,251,178,102,178,175,250,227,1444,1503,468,3415
s8-2025-london,hyrox-men,9,Zac Stevens,GB,57:01,LR3MS4JI42DB82,133,249,162,130,173,202,175,187,182,256,176,90,178,187,249,234,1424,1535,462,3421
s8-2025-london,hyrox-men,10,Steven Beattie,GB,57:02,LR3MS4JI42E846,133,261,167,135,167,205,174,170,174,259,171,98,176,179,251,243,1410,1550,462,3422
s8-2025-london,hyrox-men,11,Ben Allon-Smith,GB,57:02,LR3MS4JI42CEFF,154,257,174,121,179,184,180,170,177,251,175,88,172,178,242,253,1449,1502,471,3422
s8-2025-london,hyrox-men,12,Gavin Magner,GB,57:29,LR3MS4JI42C27F,152,264,173,126,176,204,175,198,176,249,175,86,174,190,237,233,1434,1550,465,3449
s8-2025-london,hyrox-men,13,Mike Carmody,IE,57:30,LR3MS4JI42EFA8,156,257,178,125,181,191,179,188,185,259,181,77,186,158,256,221,1499,1476,475,3450
s8-2025-london,hyrox-men,14,Gavin Hogarth,GB,57:46,LR3MS4JI4314EE,145,269,171,145,173,187,176,183,183,262,177,86,180,180,253,245,1455,1557,454,3466
s8-2025-london,hyrox-men,15,Toby Roberts,GB,57:46,LR3MS4JI4314F4,141,258,173,135,185,174,184,170,183,253,186,93,182,185,263,228,1493,1496,477,3466
s8-2025-london,hyrox-men,16,Samuel Taylor,GB,57:53,LR3MS4JI42C26C,148,259,173,130,180,198,182,156,190,258,189,87,189,176,263,214,1509,1478,486,3473
s8-2025-london,hyrox-men,17,Ryan Gibson,GB,57:55,LR3MS4JI42BC49,144,264,162,138,167,201,168,194,172,267,171,98,172,199,239,257,1390,1618,467,3475
s8-2025-london,hyrox-men,18,Paul Dooley,IE,57:56,LR3MS4JI42DB7B,143,259,173,131,177,202,179,193,180,260,175,75,182,216,247,214,1452,1550,474,3476
s8-2025-london,hyrox-men,19,Perry Mullins,GB,58:17,LR3MS4JI430E86,143,262,170,130,179,187,185,180,184,262,181,86,183,188,257,250,1479,1545,473,3497
s8-2025-london,hyrox-men,20,Matt Agnew,GB,58:25,LR3MS4JI42E849,151,268,173,130,182,213,185,152,182,264,180,76,188,197,261,227,1498,1527,480,3505
s8-2025-london,hyrox-men,21,George Brock,GB,58:26,LR3MS4JI43082F,150,264,171,133,178,199,180,174,193,257,182,83,187,193,262,219,1501,1522,483,3506
s8-2025-london,hyrox-men,22,Alex Neville,GB,58:26,LR3MS4JI42CF04,144,256,172,116,178,205,183,164,185,262,187,76,189,188,263,265,1498,1532,476,3506
s8-2025-london,hyrox-men,23,Aaron Bassett,IE,58:29,LR3MS4JI42F50F,148,265,170,132,174,226,173,169,178,253,177,98,179,188,252,244,1449,1575,485,3509
s8-2025-london,hyrox-men,24,Simon Day,GB,58:31,LR3MS4JI4301F7,148,264,171,115,181,217,182,175,183,259,183,72,185,191,254,245,1483,1538,490,3511
s8-2025-london,hyrox-men,25,Bailey Askin,GB,58:38,LR3MS4JI4301F5,144,253,175,139,183,201,183,174,186,249,187,94,187,185,261,214,1502,1509,507,3518
s8-2025-london,hyrox-men,26,Callum Short,GB,58:39,LR3MS4JI431B1A,144,265,170,141,181,218,184,150,186,261,185,80,190,185,259,239,1495,1539,485,3519
s8-2025-london,hyrox-men,27,Kieran Higgs,GB,58:40,LR3MS4JI42E37C,141,252,166,138,173,230,173,204,182,257,177,97,181,194,247,222,1437,1594,489,3520
s8-2025-london,hyrox-men,28,Craig Gardiner,GB,58:40,LR3MS4JI42E1D7,138,266,165,141,172,206,173,183,177,261,172,91,174,187,244,310,1411,1645,464,3520
s8-2025-london,hyrox-men,29,Mark Baddeley,GB,58:40,LR3MS4JI42FB8E,144,267,168,140,173,192,175,194,179,264,181,96,181,185,250,269,1448,1607,465,3520
s8-2025-london,hyrox-men,30,Nikolay Georgiev,BG,58:44,LR3MS4JI431B31,150,269,175,122,179,199,180,169,180,254,178,75,185,241,240,232,1463,1561,500,3524
