event,division,rank,name,nation,total_time,result_id,Running 1,1000m SkiErg,Running 2,50m Sled Push,Running 3,50m Sled Pull,Running 4,80m Burpee Broad Jump,Running 5,1000m Row,Running 6,200m Farmers Carry,Running 7,100m Sandbag Lunges,Running 8,Wall Balls,Running Total,Workouts Total,Roxzone Total,Total Time
s8-2026-bilbao,hyrox-men,1,Sebastien Rajkowski,FR,54:28,LR3MS4JI4673D4,193,248,185,135,200,190,193,182,200,252,194,83,198,178,200,243,1560,1511,197,3268
s8-2026-bilbao,hyrox-men,2,Lars Rademaker,ES,54:43,LR3MS4JI46795C,206,238,193,140,206,186,201,194,205,238,206,95,205,174,212,203,1631,1468,184,3283
s8-2026-bilbao,hyrox-men,3,Gavin Magner,GB,54:47,LR3MS4JI46795D,217,256,198,116,208,178,202,182,211,242,207,85,207,167,210,201,1656,1427,204,3287
s8-2026-bilbao,hyrox-men,4,Louis Simoneau,FR,56:08,LR3MS4JI4676A6,213,237,204,144,218,164,218,175,219,241,219,85,218,177,220,202,1726,1425,217,3368
s8-2026-bilbao,hyrox-men,5,David Mosquera cavada,ES,56:39,LR3MS4JI46795B,198,249,189,139,202,215,198,181,206,251,203,87,203,187,205,246,1600,1555,244,3399
s8-2026-bilbao,hyrox-men,6,Enrico Corvetto,IT,56:48,LR3MS4JI468475,208,241,205,112,213,184,211,187,224,255,210,79,211,195,215,222,1694,1475,239,3408
s8-2026-bilbao,hyrox-men,7,Sergio Olivares Plaza,ES,56:50,LR3MS4JI46847E,228,240,214,141,219,183,223,145,223,240,224,87,226,168,233,205,1787,1409,214,3410
s8-2026-bilbao,hyrox-men,8,Otto Chafer,ES,57:22,LR3MS4JI467EEE,208,261,196,150,202,219,200,193,209,246,201,84,201,202,205,239,1619,1594,229,3442
s8-2026-bilbao,hyrox-men,9,Carlos Salazar,ES,57:36,LR3MS4JI467F9C,325,304,370,424,,,,,,,,,,,,,695,728,2033,3456
s8-2026-bilbao,hyrox-men,10,Jose Angel Hidalgo Izquierdo,ES,58:12,LR3MS4JI4673D0,224,248,208,144,228,169,219,171,224,242,221,86,225,184,230,229,1776,1473,243,3492
s8-2026-bilbao,hyrox-men,11,Constantino Nogueira,PT,58:14,LR3MS4JI468482,220,241,215,130,227,181,228,180,227,247,230,89,227,194,235,212,1804,1474,216,3494
s8-2026-bilbao,hyrox-men,12,Borja Palomo,ES,58:20,LR3MS4JI467D01,218,238,209,154,216,215,212,139,217,245,211,95,211,174,223,281,1713,1541,246,3500
